"CustomerId","Name","Pays","Sexe","Age","Nombre de projet"
"15634602","Hargrave","France","Female","42","1"
"15647311","Hill","Spain","Female","41","1"
"15619304","Onio","France","Female","42","3"
"15701354","Boni","France","Female","39","2"
"15737888","Mitchell","Spain","Female","43","1"
"15574012","Chu","Spain","Male","44","2"
"15592531","Bartlett","France","Male","50","2"
"15656148","Obinna","Germany","Female","29","4"
"15792365","He","France","Male","44","2"
"15592389","H?","France","Male","27","1"
"15767821","Bearce","France","Male","31","2"
"15737173","Andrews","Spain","Male","24","2"
"15632264","Kay","France","Female","34","2"
"15691483","Chin","France","Female","25","2"
"15600882","Scott","Spain","Female","35","2"
"15643966","Goforth","Germany","Male","45","2"
"15737452","Romeo","Germany","Male","58","1"
"15788218","Henderson","Spain","Female","24","2"
"15661507","Muldrow","Spain","Male","45","1"
"15568982","Hao","France","Female","24","2"
"15577657","McDonald","France","Male","41","2"
"15597945","Dellucci","Spain","Female","32","2"
"15699309","Gerasimov","Spain","Female","38","1"
"15725737","Mosman","France","Male","46","2"
"15625047","Yen","France","Female","38","1"
"15738191","Maclean","France","Male","25","2"
"15736816","Young","Germany","Male","36","1"
"15700772","Nebechi","France","Male","44","2"
"15728693","McWilliams","Germany","Female","43","1"
"15656300","Lucciano","France","Male","29","2"
"15589475","Azikiwe","Spain","Female","39","3"
"15706552","Odinakachukwu","France","Male","36","1"
"15750181","Sanderson","Germany","Male","41","2"
"15659428","Maggard","Spain","Female","42","2"
"15732963","Clements","Spain","Female","29","2"
"15794171","Lombardo","France","Female","45","1"
"15788448","Watson","Spain","Male","31","1"
"15729599","Lorenzo","Spain","Male","33","1"
"15717426","Armstrong","France","Male","36","1"
"15585768","Cameron","Germany","Male","41","2"
"15619360","Hsiao","Spain","Male","40","1"
"15738148","Clarke","France","Female","51","1"
"15687946","Osborne","France","Female","61","1"
"15755196","Lavine","France","Female","49","1"
"15684171","Bianchi","Spain","Female","61","1"
"15754849","Tyler","Germany","Female","32","2"
"15602280","Martin","Germany","Female","27","1"
"15771573","Okagbue","Germany","Female","39","1"
"15766205","Yin","Germany","Male","38","1"
"15771873","Buccho","Germany","Female","37","2"
"15616550","Chidiebele","Germany","Male","44","2"
"15768193","Trevisani","Germany","Male","36","2"
"15683553","O'Brien","France","Female","33","2"
"15702298","Parkhill","Germany","Male","41","1"
"15569590","Yoo","Germany","Male","42","1"
"15760861","Phillipps","France","Male","43","1"
"15630053","Tsao","France","Male","45","1"
"15647091","Endrizzi","Germany","Male","19","1"
"15623944","T'ien","Spain","Female","66","1"
"15804771","Velazquez","France","Male","51","1"
"15651280","Hunter","Germany","Male","35","1"
"15773469","Clark","Germany","Female","27","2"
"15702014","Jeffrey","Spain","Male","33","2"
"15751208","Pirozzi","Spain","Male","56","1"
"15592461","Jackson","Germany","Male","26","1"
"15789484","Hammond","Germany","Female","36","2"
"15696061","Brownless","Germany","Female","34","1"
"15641582","Chibugo","Germany","Male","43","2"
"15638424","Glauert","Germany","Female","35","2"
"15755648","Pisano","France","Female","21","1"
"15703793","Konovalova","Germany","Male","58","4"
"15620344","McKee","France","Male","29","1"
"15812518","Palermo","Spain","Female","37","1"
"15779052","Ballard","Germany","Female","25","2"
"15770811","Wallace","France","Male","36","2"
"15780961","Cavenagh","France","Female","21","2"
"15614049","Hu","France","Male","55","2"
"15662085","Read","France","Female","32","1"
"15575185","Bushell","Spain","Male","33","1"
"15803136","Postle","Germany","Female","41","2"
"15706021","Buley","France","Female","34","2"
"15663706","Leonard","France","Female","32","1"
"15641732","Mills","France","Female","36","2"
"15701164","Onyeorulu","France","Female","34","1"
"15738751","Beit","France","Female","46","2"
"15805254","Ndukaku","Spain","Female","75","2"
"15762418","Gant","Spain","Male","22","1"
"15625759","Rowley","France","Male","30","2"
"15622897","Sharpe","France","Female","46","3"
"15767954","Osborne","Germany","Female","28","2"
"15757535","Heap","Spain","Female","44","3"
"15731511","Ritchie","France","Male","45","2"
"15809248","Cole","France","Female","36","2"
"15640635","Capon","France","Male","29","2"
"15676966","Capon","Spain","Male","42","2"
