"CustomerId","Name","Pays","Sexe","Age","Nombre de projet","Num_compte","Solde","Age_compte","CreditScore","Id","Original Principal Amount","Cancelled Amount","Due to the banque","Credit Status","Numero_statut","IsActiveMember","EstimatedSalary","HasCrCard","Exited"
"15634602","Hargrave","France","Female","42","1","1","0","2","619","1","9000000.0","572026.03","0.0","Repaid","1","1","101348.88","1","1"
"15647311","Hill","Spain","Female","41","1","2","83807.86","1","608","2","15509696.87","633197.93","7374384.82","Disbursed","2","1","112542.58","0","0"
"15619304","Onio","France","Female","42","3","3","159660.8","8","502","3","72112713.47","530.0","0.0","Repaid","3","0","113931.57","1","1"
"15701354","Boni","France","Female","39","2","4","0","1","699","4","22878919.07","2244.58","0.0","Repaid","4","0","93826.63","0","0"
"15737888","Mitchell","Spain","Female","43","1","5","125510.82","2","850","5","23480995.92","0.0","0.0","Repaid","5","1","79084.1","1","0"
"15574012","Chu","Spain","Male","44","2","6","113755.78","8","645","6","2649441.01","21731.53","0.0","Repaid","6","0","149756.71","1","1"
"15592531","Bartlett","France","Male","50","2","7","0","7","822","7","4115989.22","1668668.63","0.0","Repaid","7","1","10062.8","1","0"
"15656148","Obinna","Germany","Female","29","4","8","115046.74","4","376","8","7222066.3","0.0","0.0","Repaid","8","0","119346.88","1","1"
"15792365","He","France","Male","44","2","9","142051.07","4","501","9","5215362.64","417029.8","0.0","Repaid","9","1","74940.5","0","0"
"15592389","H?","France","Male","27","1","10","134603.88","2","684","10","6428899.07","949757.55","0.0","Repaid","10","1","71725.73","1","0"
"15767821","Bearce","France","Male","31","2","11","102016.72","6","528","11","1036175.11","814348.45","0.0","Repaid","11","0","80181.12","0","0"
"15737173","Andrews","Spain","Male","24","2","12","0","3","497","12","7228256.66","0.0","0.0","Repaid","12","0","76390.01","1","0"
"15632264","Kay","France","Female","34","2","13","0","10","476","13","5193156.02","1114258.29","0.0","Repaid","13","0","26260.98","1","0"
"15691483","Chin","France","Female","25","2","14","0","5","549","14","9536139.58","496.0","0.0","Repaid","14","0","190857.79","0","0"
"15600882","Scott","Spain","Female","35","2","15","0","7","635","15","12051853.61","0.0","0.0","Repaid","15","1","65951.65","1","0"
"15643966","Goforth","Germany","Male","45","2","16","143129.41","3","616","16","2067068.97","1654215.55","0.0","Repaid","16","1","64327.26","0","0"
"15737452","Romeo","Germany","Male","58","1","17","132602.88","1","653","17","6001266.43","118853.68","0.0","Repaid","17","0","5097.67","1","1"
"15788218","Henderson","Spain","Female","24","2","18","0","9","549","18","2306230.51","500.0","0.0","Repaid","18","1","14406.41","1","0"
"15661507","Muldrow","Spain","Male","45","1","19","0","6","587","19","126800000.0","1781.85","0.0","Disbursed","19","0","158684.81","0","0"
"15568982","Hao","France","Female","24","2","20","0","6","726","20","21883934.27","2004294.48","0.0","Repaid","20","1","54724.03","1","0"
"15577657","McDonald","France","Male","41","2","21","0","8","732","21","3373186.4","0.0","0.0","Disbursed","21","1","170886.17","1","0"
"15597945","Dellucci","Spain","Female","32","2","22","0","8","636","22","18086117.32","0.0","0.0","Repaid","22","0","138555.46","1","0"
"15699309","Gerasimov","Spain","Female","38","1","23","0","4","510","23","21154433.73","2667881.54","0.0","Repaid","23","0","118913.53","1","1"
"15725737","Mosman","France","Male","46","2","24","0","3","669","24","15674635.09","0.0","0.0","Repaid","24","1","8487.75","0","0"
"15625047","Yen","France","Female","38","1","25","0","5","846","25","21100470.23","0.0","0.0","Repaid","25","1","187616.16","1","0"
"15738191","Maclean","France","Male","25","2","26","0","3","577","26","16879769.69","7076.13","0.0","Repaid","26","1","124508.29","0","0"
"15736816","Young","Germany","Male","36","1","27","136815.64","2","756","27","3616300.34","5166.14","0.0","Repaid","27","1","170041.95","1","0"
